,Item,Pronunciation,Phonology,Frequency,Length
14814,retrograde,R EH T R OW G R EY D,rEtrogred,0.33,9
14815,retrogressive,R EH T R AH G R EH S IH V,rEtrxgrEsIv,0.02,11
14816,retrospect,R EH T R OW S P EH K T,rEtrospEkt,0.71,10
14817,retrospective,R EH T R AH S P EH K T IH V,rEtrxspEktIv,0.29,12
14818,return,R IH T AH R N,rItxrn,91.69,6
14819,reunion,R IY Y UW N Y AH N,riyunyxn,8.82,8
14820,reunite,R IY Y UW N AY T,riyunYt,0.71,7
14821,rev,R EH V,rEv,4.06,3
14822,revamp,R IY V AE M P,rivAmp,0.08,6
14823,reveal,R IH V IY L,rIvil,9.33,5
14824,revealing,R IY V IY L IH NG,rivilIG,2.65,7
14825,revel,R EH V AH L,rEvxl,0.8,5
14826,revelation,R EH V AH L EY SH IH N,rEvxleSIn,2.75,9
14827,revelry,R EH V AH L R IY,rEvxlri,0.18,7
14828,revenge,R IH V EH N JH,rIvEnJ,19.04,6
14829,revenue,R EH V AH N UW,rEvxnu,2.39,6
14830,reverberate,R IH V AH R B AH R EY T,rIvxrbxret,0.04,10
14831,reverberation,R IH V AH R B AH R EY SH AH N,rIvxrbxreSxn,0.08,12
14832,revere,R IH V IH R,rIvIr,1.12,5
14833,reverence,R EH V AH R AH N S,rEvxrxns,1.33,8
14834,reverent,R EH V AH R AH N T,rEvxrxnt,0.22,8
14835,reverie,R EH V AH R IY,rEvxri,0.14,6
14836,reversal,R IH V AH R S AH L,rIvxrsxl,1.12,8
14837,reverse,R IH V AH R S,rIvxrs,10.98,6
14838,reversible,R IH V AH R S AH B AH L,rIvxrsxbxl,0.29,10
14839,revert,R IH V AH R T,rIvxrt,0.69,6
14840,review,R IH V Y UW,rIvyu,14.8,5
14841,reviewer,R IY V Y UW AH R,rivyuxr,0.51,7
14842,revile,R IH V AY L,rIvYl,0.14,5
14843,revise,R IH V AY Z,rIvYz,0.86,5
14844,revision,R IH V IH ZH AH N,rIvIZxn,0.57,7
14845,revisionist,R IH V IH ZH AH N IH S T,rIvIZxnIst,0.25,10
14846,revisit,R IY V IH Z IH T,rivIzIt,0.84,7
14847,revitalize,R IY V AY T AH L AY Z,rivYtxlYz,0.25,9
14848,revival,R IH V AY V AH L,rIvYvxl,1.18,7
14849,revive,R IH V AY V,rIvYv,1.84,5
14850,revoke,R IH V OW K,rIvok,0.73,5
14851,revolt,R IH V OW L T,rIvolt,1.55,6
14852,revolting,R IH V OW L T IH NG,rIvoltIG,1.92,8
14853,revolution,R EH V AH L UW SH IH N,rEvxluSIn,12.33,9
14854,revolutionary,R EH V AH L UW SH AH N EH R IY,rEvxluSxnEri,4.39,12
14855,revolutionize,R EH V AH L UW SH AH N AY Z,rEvxluSxnYz,0.47,11
14856,revolve,R IH V AA L V,rIvalv,0.69,6
14857,revolver,R IH V AA L V AH R,rIvalvxr,2.76,8
14858,revulsion,R IH V AH L SH IH N,rIvxlSIn,0.24,8
14859,reward,R IH W AO R D,rIwcrd,18.02,6
14860,rewarding,R IY W AO R D IH NG,riwcrdIG,1.67,8
14861,rewrite,R IY R AY T,rirYt,2.75,5
14862,rhetoric,R EH T AH R IH K,rEtxrIk,0.41,7
14867,rheumatic,R UW M AE T IH K,rumAtIk,0.16,7
14868,rheumatism,R UW M AH T IH Z AH M,rumxtIzxm,0.69,9
14869,rhinestone,R AY N S T OW N,rYnston,0.63,7
14870,rhino,R AY N OW,rYno,2.08,4
14871,rhinoceros,R AY N AA S AH R AH S,rYnasxrxs,0.75,9
14872,rhododendron,R OW D AH D EH N D R AH N,rodxdEndrxn,0.06,11
14873,rhubarb,R UW B AA R B,rubarb,1.08,6
14878,rhythm,R IH DH AH M,rIDxm,10.9,5
14879,rhythmic,R IH DH M IH K,rIDmIk,1.02,6
14880,rhythmical,R IH DH M IH K AH L,rIDmIkxl,0.06,8
14881,rib,R IH B,rIb,5.9,3
14882,ribald,R IH B AO L D,rIbcld,0.16,6
14883,ribbing,R IH B IH NG,rIbIG,0.2,5
14884,ribbon,R IH B IH N,rIbIn,5.06,5
14885,riboflavin,R AY B OW F L EY V AH N,rYboflevxn,0.12,10
14886,ribonucleic,R AY B OW N UW K L EY IH K,rYbonukleIk,0.02,11
14887,rice,R AY S,rYs,15.08,3
14888,rich,R IH CH,rIC,80.39,3
14889,richer,R IH CH AH R,rICxr,3.88,5
14890,riches,R IH CH IH Z,rICIz,3.33,5
14891,richest,R IH CH AH S T,rICxst,4.04,6
14892,richly,R IH CH L IY,rICli,0.51,5
14893,richness,R IH CH N AH S,rICnxs,0.29,6
14894,rickety,R IH K IH T IY,rIkIti,0.41,6
14895,ricochet,R IH K AH SH EY,rIkxSe,0.47,6
14896,rid,R IH D,rId,59.84,3
14897,riddance,R IH D AH N S,rIdxns,1.73,6
14898,riddle,R IH D AH L,rIdxl,4.53,5
14899,ride,R AY D,rYd,135.37,3
14900,rider,R AY D AH R,rYdxr,7.71,5
14901,ridge,R IH JH,rIJ,7.08,3
14902,ridicule,R IH D AH K Y UW L,rIdxkyul,1.96,8
14903,ridiculous,R AH D IH K Y UH L AH S,rxdIkyUlxs,55.61,10
14904,ridiculously,R IH D IH K Y AH L AH S L IY,rIdIkyxlxsli,0.9,12
14905,riding,R AY D IH NG,rYdIG,32.0,5
14906,riffle,R IH F AH L,rIfxl,0.12,5
14907,rifle,R AY F AH L,rYfxl,14.57,5
14908,rifleman,R AY F AH L M AH N,rYfxlmxn,0.53,8
14909,rifling,R AY F L IH NG,rYflIG,0.37,6
14910,rift,R IH F T,rIft,1.08,4
14911,rig,R IH G,rIg,8.63,3
14916,rigging,R IH G IH NG,rIgIG,1.08,5
14926,righteous,R AY CH IH S,rYCIs,3.92,5
14927,righteousness,R AY CH AH S N IH S,rYCxsnIs,1.75,8
14928,rightful,R AY T F AH L,rYtfxl,2.33,6
14929,rightist,R AY T IH S T,rYtIst,0.02,6
14930,rightly,R AY T L IY,rYtli,1.65,5
14931,rightness,R AY T N IH S,rYtnIs,0.18,6
14932,rigid,R IH JH IH D,rIJId,1.86,5
14933,rigidity,R IH JH IH D IH T IY,rIJIdIti,0.22,8
14938,rigorous,R IH G AH R AH S,rIgxrxs,0.84,7
14939,rim,R IH M,rIm,2.45,3
14948,ringer,R IH NG AH R,rIGxr,1.67,5
14949,ringing,R IH NG IH NG,rIGIG,17.63,5
14950,ringside,R IH NG S AY D,rIGsYd,0.92,6
14951,rink,R IH NG K,rIGk,2.14,4
14952,rinse,R IH N S,rIns,2.35,4
14953,riot,R AY AH T,rYxt,6.49,4
14954,riotous,R AY AH T AH S,rYxtxs,0.16,6
14955,rip,R IH P,rIp,20.16,3
14956,ripa,R IY P AH,ripx,0.08,4
14957,ripe,R AY P,rYp,4.18,3
14958,ripen,R AY P AH N,rYpxn,0.27,5
14959,ripening,R AY P N IH NG,rYpnIG,0.12,6
14960,ripple,R IH P AH L,rIpxl,1.51,5
14961,rise,R AY Z,rYz,27.43,3
14962,risk,R IH S K,rIsk,49.04,4
14963,risky,R IH S K IY,rIski,7.71,5
14973,ritual,R IH CH UW AH L,rICuxl,8.94,6
14974,rival,R AY V AH L,rYvxl,3.78,5
14975,rivalry,R AY V AH L R IY,rYvxlri,1.06,7
14976,rive,R AY V,rYv,0.06,3
14977,river,R IH V AH R,rIvxr,55.47,5
14978,riverbank,R IH V AH R B AE NG K,rIvxrbAGk,0.67,9
14979,rivet,R IH V AH T,rIvxt,0.33,5
14980,rivulet,R IH V Y UH L IH T,rIvyUlIt,0.04,8
14981,roach,R OW CH,roC,2.65,3
14982,road,R OW D,rod,111.94,3
14983,roadbed,R OW D B EH D,rodbEd,0.04,6
14984,roadblock,R OW D B L AA K,rodblak,1.98,7
14985,roadhouse,R OW D HH AW S,rodhWs,0.75,6
14986,roadside,R OW D S AY D,rodsYd,1.02,6
14987,roadster,R OW D S T AH R,rodstxr,0.35,7
14988,roadway,R OW D W EY,rodwe,0.22,5
14989,roam,R OW M,rom,3.39,3
14990,roar,R OW R,ror,4.02,3
14991,roaring,R OW R IH NG,rorIG,3.06,5
14992,roast,R OW S T,rost,9.78,4
14993,rob,R AA B,rab,23.29,3
14994,robber,R AA B AH R,rabxr,4.69,5
14995,robbery,R AA B AH R IY,rabxri,23.04,6
14996,robe,R OW B,rob,8.49,3
14997,robin,R AA B IH N,rabIn,24.94,5
14998,robot,R OW B AA T,robat,12.18,5
14999,rock,R AA K,rak,86.16,3
15000,rocker,R AA K AH R,rakxr,1.25,5
15001,rocket,R AA K IH T,rakIt,11.84,5
15002,rocking,R AA K IH NG,rakIG,4.37,5
15003,rocky,R AA K IY,raki,15.82,4
15004,rococo,R AH K OW K OW,rxkoko,0.06,6
15005,rod,R AA D,rad,10.73,3
15006,rodent,R OW D AH N T,rodxnt,1.8,6
15007,rodeo,R OW D IY OW,rodio,5.55,5
15008,roemer,R EY M AH R,remxr,0.31,5
15009,rogue,R OW G,rog,3.73,3
15010,roil,R OY L,rOl,0.02,3
15015,roleplaying,R OW L P L EY IH NG,rolpleIG,0.02,8
15020,roller,R OW L AH R,rolxr,5.75,5
15021,rollick,R AA L IH K,ralIk,0.04,5
15022,romance,R OW M AE N S,romAns,15.53,6
15023,romantic,R OW M AE N T IH K,romAntIk,35.18,8
15024,romanticism,R OW M AE N T IH S IH Z AH M,romAntIsIzxm,0.2,12
15025,romanticize,R OW M AE N T IH S AY Z,romAntIsYz,0.22,10
15026,romanticizing,R OW M AE N T AH S AY Z IH NG,romAntxsYzIG,0.08,12
15027,romp,R AA M P,ramp,0.53,4
15028,rondo,R AA N D OW,rando,0.16,5
15029,roof,R UW F,ruf,35.65,3
15030,roofer,R UW F AH R,rufxr,0.33,5
15031,roofing,R UW F IH NG,rufIG,0.25,5
15032,rooftop,R UW F T AA P,ruftap,1.59,6
15033,rooftree,R UW F T R IY,ruftri,0.02,6
15034,rookie,R UH K IY,rUki,4.94,4
15039,roomful,R UW M F UH L,rumfUl,0.61,6
15040,roommate,R UW M M EY T,rummet,11.39,6
15041,roomy,R UW M IY,rumi,0.39,4
15042,roost,R UW S T,rust,0.88,4
15043,rooster,R UW S T AH R,rustxr,3.86,6
15048,rootless,R UW T L IH S,rutlIs,0.04,6
15049,rope,R OW P,rop,22.71,3
15050,roper,R OW P AH R,ropxr,1.82,5
15051,rosary,R OW Z AH R IY,rozxri,1.2,6
15052,rose,R OW Z,roz,53.02,3
15053,rosebud,R OW Z B AH D,rozbxd,1.41,6
15054,rosebush,R OW Z B UH SH,rozbUS,0.1,6
15055,rosette,R OW Z EH T,rozEt,0.1,5
15056,roster,R AA S T AH R,rastxr,2.16,6
15057,rostrum,R AA S T R AH M,rastrxm,0.08,7
15058,rosy,R OW Z IY,rozi,3.31,4
15059,rot,R AA T,rat,7.73,3
15060,rotary,R OW T AH R IY,rotxri,0.53,6
15061,rotate,R OW T EY T,rotet,1.92,5
15062,rotation,R OW T EY SH IH N,roteSIn,2.92,7
15063,rotenone,R OW T AH N OW N,rotxnon,0.18,7
15064,rotor,R OW T AH R,rotxr,0.47,5
15065,rotten,R AA T AH N,ratxn,17.47,5
15066,rotund,R OW T AH N D,rotxnd,0.12,6
15067,rotunda,R OW T AH N D AH,rotxndx,0.53,7
15068,rouge,R UW ZH,ruZ,3.24,3
15069,rough,R AH F,rxf,37.39,3
15070,rougher,R AH F AH R,rxfxr,0.75,5
15071,roughest,R AH F AH S T,rxfxst,0.43,6
15072,roughly,R AH F L IY,rxfli,3.14,5
15073,roughneck,R AH F N EH K,rxfnEk,0.63,6
15074,roughness,R AH F N AH S,rxfnxs,0.08,6
15075,roughshod,R AH F SH AA D,rxfSad,0.27,6
15076,roulette,R UW L EH T,rulEt,2.47,5
15077,round,R AW N D,rWnd,66.53,4
15078,roundabout,R AW N D AH B AW T,rWndxbWt,0.43,8
15079,roundhouse,R AW N D HH AW S,rWndhWs,0.18,7
15080,rounding,R AW N D IH NG,rWndIG,1.76,6
15081,roundly,R AW N D L IY,rWndli,0.04,6
15082,roundness,R AW N D N AH S,rWndnxs,0.04,7
15083,roundup,R AW N D AH P,rWndxp,1.14,6
15084,rouse,R AW Z,rWz,0.92,3
15085,rousing,R AW Z IH NG,rWzIG,0.49,5
15090,routine,R UW T IY N,rutin,19.84,5
15091,routing,R UW T IH NG,rutIG,0.71,5
15092,rove,R OW V,rov,1.14,3
15093,rover,R OW V AH R,rovxr,3.33,5
15094,row,R OW,ro,26.33,2
15095,rowdy,R AW D IY,rWdi,1.02,4
15096,royal,R OY AH L,rOxl,23.24,4
15097,royalty,R OY AH L T IY,rOxlti,3.92,6
15098,rub,R AH B,rxb,15.45,3
15099,rubber,R AH B AH R,rxbxr,14.0,5
15100,rubbery,R AH B AH R IY,rxbxri,0.18,6
15101,rubbish,R AH B IH SH,rxbIS,5.59,5
15102,rubble,R AH B AH L,rxbxl,1.75,5
15103,rubdown,R AH B D AW N,rxbdWn,0.61,6
15104,rubric,R UW B R IH K,rubrIk,0.04,6
15105,ruby,R UW B IY,rubi,11.9,4
15106,ruckus,R AH K AH S,rxkxs,1.47,5
15107,rudder,R AH D AH R,rxdxr,3.88,5
15108,rudderless,R AH D AH R L AH S,rxdxrlxs,0.08,8
15109,ruddy,R AH D IY,rxdi,0.71,4
15110,rude,R UW D,rud,22.06,3
15111,rudeness,R UW D N AH S,rudnxs,0.84,6
15112,rudimentary,R UW D AH M EH N T AH R IY,rudxmEntxri,0.67,11
15113,rue,R UW,ru,1.76,2
15114,ruffian,R AH F IY AH N,rxfixn,0.55,6
15115,ruffle,R AH F AH L,rxfxl,0.57,5
15116,rug,R AH G,rxg,10.41,3
15117,rugged,R AH G IH D,rxgId,2.0,5
15118,ruin,R UW IH N,ruIn,28.53,4
15119,ruinous,R UW AH N IH S,ruxnIs,0.1,6
15120,rule,R UW L,rul,48.14,3
15121,ruler,R UW L AH R,rulxr,3.18,5
15122,ruling,R UW L IH NG,rulIG,4.1,5
15123,rum,R AH M,rxm,7.49,3
15124,rumble,R AH M B AH L,rxmbxl,2.73,6
15125,rumen,R UW M AH N,rumxn,0.02,5
15126,ruminant,R UW M AH N IH N T,rumxnInt,0.02,8
15127,rummage,R AH M IH JH,rxmIJ,0.78,5
15128,rummy,R AH M IY,rxmi,1.45,4
15129,rumor,R UW M AH R,rumxr,10.41,5
15130,rump,R AH M P,rxmp,1.41,4
15131,rumple,R AH M P AH L,rxmpxl,0.14,6
15132,rumpus,R AH M P AH S,rxmpxs,0.67,6
15133,run,R AH N,rxn,350.55,3
15134,runabout,R AH N AH B AW T,rxnxbWt,0.06,7
15135,runaway,R AH N AH W EY,rxnxwe,4.06,6
15136,rundown,R AH N D AW N,rxndWn,1.45,6
15137,rune,R UW N,run,0.98,3
15138,rung,R AH NG,rxG,1.39,3
15139,runner,R AH N AH R,rxnxr,4.96,5
15140,running,R AH N IH NG,rxnIG,157.92,5
15141,runoff,R AH N AO F,rxncf,0.2,5
15142,runt,R AH N T,rxnt,2.45,4
15143,runway,R AH N W EY,rxnwe,5.47,5
15144,rupee,R UW P IY,rupi,0.04,4
15145,rupture,R AH P CH AH R,rxpCxr,1.29,6
15146,rural,R UH R AH L,rUrxl,1.16,5
15147,ruse,R UW S,rus,1.67,3
15148,rush,R AH SH,rxS,31.41,3
15149,russe,R AH S,rxs,0.2,3
15150,russet,R AH S IH T,rxsIt,0.16,5
15151,rust,R AH S T,rxst,2.49,4
15152,rustic,R AH S T IH K,rxstIk,0.78,6
15153,rusting,R AH S T IH NG,rxstIG,0.37,6
15154,rustle,R AH S AH L,rxsxl,1.14,5
15155,rustler,R AH S L AH R,rxslxr,0.49,6
15156,rustling,R AH S L IH NG,rxslIG,2.0,6
15157,rustproof,R AH S T P R UW F,rxstpruf,0.02,8
15158,rusty,R AH S T IY,rxsti,12.88,5
15159,rut,R AH T,rxt,1.53,3
15160,rutabaga,R UW T AH B EY G AH,rutxbegx,0.35,8
15161,ruthless,R UW TH L AH S,ruTlxs,4.14,6
15162,ruthlessness,R UW TH L IH S N EH S,ruTlIsnEs,0.1,9
15167,sable,S EY B AH L,sebxl,0.82,5
15168,sabotage,S AE B AH T AA ZH,sAbxtaZ,3.86,7
15169,sabre,S EY B AH R,sebxr,0.18,5
15170,sack,S AE K,sAk,12.92,3
15171,sacker,S AE K AH R,sAkxr,0.25,5
15172,sacral,S EY K R AH L,sekrxl,0.06,6
15173,sacrament,S AE K R AH M AH N T,sAkrxmxnt,0.55,9
15174,sacred,S EY K R AH D,sekrxd,14.02,6
15175,sacredness,S EY K R IH D N IH S,sekrIdnIs,0.06,9
15176,sacrifice,S AE K R IH F AY S,sAkrIfYs,17.9,8
15177,sacrificial,S AE K R AH F IH SH AH L,sAkrxfISxl,0.57,10
15178,sacrilege,S AE K R AH L IH JH,sAkrxlIJ,0.71,8
15179,sacrosanct,S AE K R OW S AE NG K T,sAkrosAGkt,0.16,10
15180,sad,S AE D,sAd,63.37,3
15181,sadden,S AE D AH N,sAdxn,0.08,5
15182,sadder,S AE D AH R,sAdxr,1.06,5
15183,saddle,S AE D AH L,sAdxl,7.82,5
15184,saddlebag,S AE D AH L B AE G,sAdxlbAg,0.25,8
15185,sadism,S EY D IH Z AH M,sedIzxm,0.18,7
15186,sadist,S EY D AH S T,sedxst,1.08,6
15187,sadistic,S AH D IH S T IH K,sxdIstIk,1.71,8
15188,sadness,S AE D N IH S,sAdnIs,4.78,6
15189,safari,S AH F AA R IY,sxfari,2.08,6
15190,safe,S EY F,sef,143.2,3
15191,safeguard,S EY F G AA R D,sefgard,0.94,7
15192,safekeeping,S EY F K IY P IH NG,sefkipIG,0.9,8
15193,safer,S EY F AH R,sefxr,11.37,5
15194,safest,S EY F AH S T,sefxst,2.53,6
15195,safety,S EY F T IY,sefti,32.33,5
15196,saffron,S AE F R AH N,sAfrxn,0.61,6
15197,sag,S AE G,sAg,0.8,3
15198,saga,S AA G AH,sagx,0.78,4
15199,sage,S EY JH,seJ,1.75,3
15200,sagebrush,S EY JH B R AH SH,seJbrxS,0.29,7
15205,sailboat,S EY L B OW T,selbot,1.61,6
15206,sailing,S EY L IH NG,selIG,9.41,5
15207,sailor,S EY L AH R,selxr,12.39,5
15208,saint,S EY N T,sent,17.92,4
15209,sainted,S EY N T IH D,sentId,0.61,6
15210,sainthood,S EY N T HH UH D,senthUd,0.22,7
15211,sake,S EY K,sek,64.16,3
15212,salable,S EY L AH B AH L,selxbxl,0.02,7
15213,salacious,S AH L EY SH IH S,sxleSIs,0.2,7
15214,salad,S AE L AH D,sAlxd,17.02,5
15215,salamander,S AE L AH M AE N D AH R,sAlxmAndxr,0.16,10
15216,salami,S AH L AA M IY,sxlami,2.24,6
15217,salaried,S AE L AH R IY D,sAlxrid,0.18,7
15218,salary,S AE L AH R IY,sAlxri,10.75,6
15223,salesgirl,S EY L Z G AH R L,selzgxrl,0.41,8
15224,salesman,S EY L Z M AH N,selzmxn,10.43,7
15225,salesmanship,S EY L Z M AH N SH IH P,selzmxnSIp,0.22,10
15226,salient,S EY L Y IH N T,selyInt,0.25,7
15227,saline,S EY L IY N,selin,3.43,5
15228,saliva,S AH L AY V AH,sxlYvx,2.65,6
15229,salivary,S AE L AH V EH R IY,sAlxvEri,0.1,8
15230,salivate,S AE L AH V EY T,sAlxvet,0.08,7
15231,sallow,S AE L OW,sAlo,0.12,4
15232,sally,S AE L IY,sAli,26.51,4
15233,salmon,S AE M AH N,sAmxn,6.55,5
15234,salon,S AH L AA N,sxlan,4.59,5
15235,saloon,S AH L UW N,sxlun,5.14,5
15236,salt,S AO L T,sclt,19.51,4
15237,salty,S AO L T IY,sclti,2.49,5
15238,salubrious,S AH L UW B R IY AH S,sxlubrixs,0.18,9
15239,salutary,S AE L Y UW T EH R IY,sAlyutEri,0.04,9
15240,salutation,S AE L Y UW T EY SH IH N,sAlyuteSIn,0.12,10
15241,salute,S AH L UW T,sxlut,7.25,5
15242,salvage,S AE L V IH JH,sAlvIJ,4.12,6
15243,salvation,S AE L V EY SH IH N,sAlveSIn,5.02,8
15244,salve,S AE V,sAv,0.57,3
15245,salvo,S AE L V OW,sAlvo,0.37,5
15246,samba,S AA M B AH,sambx,0.57,5
15247,same,S EY M,sem,417.18,3
15248,sameness,S EY M N IH S,semnIs,0.16,6
15249,samovar,S AE M AH V AA R,sAmxvar,0.14,7
15250,sample,S AE M P AH L,sAmpxl,14.59,6
15251,sampler,S AE M P L AH R,sAmplxr,0.31,7
15252,sampling,S AE M P L IH NG,sAmplIG,0.73,7
15253,sanatorium,S AE N IH T OW R IY AH M,sAnItorixm,0.53,10
15254,sanctify,S AE NG K T IH F AY,sAGktIfY,0.1,8
15255,sanctimonious,S AE NG K T AH M OW N IY AH S,sAGktxmonixs,0.82,12
15256,sanction,S AE NG K SH IH N,sAGkSIn,0.84,7
15257,sanctity,S AE NG K T IH T IY,sAGktIti,1.65,8
15258,sanctuary,S AE NG K CH UW EH R IY,sAGkCuEri,4.31,9
15259,sand,S AE N D,sAnd,20.29,4
15260,sandal,S AE N D AH L,sAndxl,0.22,6
15261,sandalwood,S AE N D AH L W UH D,sAndxlwUd,0.25,9
15262,sandbar,S AE N D B AA R,sAndbar,0.06,7
15263,sander,S AE N D AH R,sAndxr,0.53,6
15264,sandpaper,S AE N D P EY P AH R,sAndpepxr,0.43,9
15265,sandwich,S AE N D W IH CH,sAndwIC,21.92,7
15266,sandy,S AE N D IY,sAndi,23.25,5
15267,sane,S EY N,sen,5.51,3
15268,saner,S EY N AH R,senxr,0.2,5
15269,sang,S AE NG,sAG,8.22,3
15270,sanhedrin,S AE N HH IY D R IH N,sAnhidrIn,0.04,9
15271,sanitarium,S AE N IH T EH R IY AH M,sAnItErixm,2.25,10
15272,sanitary,S AE N IH T EH R IY,sAnItEri,0.86,8
15273,sanitation,S AE N IH T EY SH IH N,sAnIteSIn,1.18,9
15274,sanity,S AE N IH T IY,sAnIti,2.73,6
15275,sans,S AE N Z,sAnz,0.47,4
15276,sap,S AE P,sAp,3.49,3
15277,sapling,S AE P L IH NG,sAplIG,0.18,6
15278,sappy,S AE P IY,sApi,0.84,4
15279,sarcasm,S AA R K AE Z AH M,sarkAzxm,2.86,8
15280,sarcastic,S AA R K AE S T IH K,sarkAstIk,2.61,9
15281,sardine,S AA R D IY N,sardin,0.9,6
15282,sardonic,S AA R D AA N IH K,sardanIk,0.1,8
15287,sarsaparilla,S AE S P AH R IH L AH,sAspxrIlx,0.75,9
15288,sash,S AE SH,sAS,1.14,3
15289,sassafras,S AE S AH F R AE S,sAsxfrAs,0.63,8
15290,sassing,S AE S IH NG,sAsIG,0.24,5
15291,satellite,S AE T AH L AY T,sAtxlYt,15.65,7
15292,satiate,S EY SH IY EY T,seSiet,0.06,6
15293,satiety,S AH T AY AH T IY,sxtYxti,0.06,7
15294,satin,S AE T AH N,sAtxn,2.61,5
15295,satire,S AE T AY R,sAtYr,0.65,5
15296,satiric,S AH T IH R IH K,sxtIrIk,0.04,7
15297,satirical,S AH T IH R IH K AH L,sxtIrIkxl,0.18,9
15298,satirist,S AE T AH R AH S T,sAtxrxst,0.1,8
15299,satirize,S AE T AH R AY Z,sAtxrYz,0.02,7
15300,satisfaction,S AE T IH S F AE K SH IH N,sAtIsfAkSIn,6.96,11
15301,satisfactory,S AE T IH S F AE K T AH R IY,sAtIsfAktxri,3.0,12
15302,satisfy,S AE T IH S F AY,sAtIsfY,5.61,7
15303,satisfying,S AE T IH S F AY IH NG,sAtIsfYIG,2.53,9
15304,saturate,S AE CH AH R EY T,sACxret,0.2,7
15305,saturation,S AE CH AH R EY SH IH N,sACxreSIn,0.55,9
15306,sauce,S AO S,scs,15.59,3
15307,saucepan,S AO S P AE N,scspAn,0.16,6
15308,saucer,S AO S AH R,scsxr,2.75,5
15309,saucy,S AE S IY,sAsi,1.22,4
15310,sauerkraut,S AW AH R K R AW T,sWxrkrWt,1.0,8
15311,sausage,S AO S IH JH,scsIJ,7.78,5
15312,saute,S AO T EY,scte,0.06,4
15313,savage,S AE V IH JH,sAvIJ,7.16,5
15314,savagely,S AE V IH JH L IY,sAvIJli,0.33,7
15315,savagery,S AE V IH JH R IY,sAvIJri,0.27,7
15316,save,S EY V,sev,162.31,3
15321,saving,S EY V IH NG,sevIG,30.12,5
15322,savings,S EY V IH NG Z,sevIGz,7.53,6
15323,savior,S EY V Y AH R,sevyxr,3.39,6
15328,savory,S EY V AH R IY,sevxri,0.22,6
15329,savvy,S AE V IY,sAvi,1.06,4
15330,saw,S AO,sc,402.49,2
15331,sawdust,S AO D AH S T,scdxst,0.59,6
15332,sawing,S AO IH NG,scIG,0.57,4
15333,sawmill,S AO M IH L,scmIl,0.41,5
15334,sax,S AE K S,sAks,1.25,4
15335,saxophone,S AE K S AH F OW N,sAksxfon,1.69,8
15336,saxophonist,S AE K S AH F OW N IH S T,sAksxfonIst,0.12,11
15337,say,S EY,se,1639.78,2
15338,saying,S EY IH NG,seIG,291.65,4
15339,sayonara,S EY AA N AH R AH,seanxrx,1.65,7
15340,scab,S K AE B,skAb,0.63,4
15341,scabbard,S K AE B AH R D,skAbxrd,0.22,7
15342,scabrous,S K AE B R AH S,skAbrxs,0.02,7
15343,scaffold,S K AE F AH L D,skAfxld,0.55,7
15344,scaffolding,S K AE F AH L D IH NG,skAfxldIG,0.24,9
15345,scald,S K AO L D,skcld,0.27,5
15346,scale,S K EY L,skel,9.51,4
15347,scallop,S K AA L AH P,skalxp,0.18,6
15348,scalp,S K AE L P,skAlp,3.69,5
15349,scamper,S K AE M P AH R,skAmpxr,0.25,7
15350,scan,S K AE N,skAn,9.41,4
15351,scandal,S K AE N D AH L,skAndxl,8.12,7
15352,scandalize,S K AE N D AH L AY Z,skAndxlYz,0.02,9
15353,scanner,S K AE N AH R,skAnxr,2.94,6
15354,scanning,S K AE N IH NG,skAnIG,2.33,6
15355,scant,S K AE N T,skAnt,0.24,5
15356,scanty,S K AE N T IY,skAnti,0.02,6
15357,scapegoat,S K EY P G OW T,skepgot,1.1,7
15358,scar,S K AA R,skar,8.47,4
15359,scarce,S K EH R S,skErs,1.71,5
15360,scarcely,S K EH R S L IY,skErsli,1.37,7
15361,scarcity,S K EH R S IH T IY,skErsIti,0.16,8
15362,scare,S K EH R,skEr,33.57,4
15363,scarf,S K AA R F,skarf,4.69,5
15364,scarify,S K AE R AH F AY,skArxfY,0.08,7
15365,scarlet,S K AA R L AH T,skarlxt,3.27,7
15366,scary,S K EH R IY,skEri,26.2,5
15367,scathingly,S K EY DH IH NG L IY,skeDIGli,0.14,8
15368,scatter,S K AE T AH R,skAtxr,2.43,6
15369,scavenge,S K AE V AH N JH,skAvxnJ,0.2,7
15370,scavenger,S K AE V AH N JH AH R,skAvxnJxr,0.86,9
15371,scenario,S AH N AE R IY OW,sxnArio,6.25,7
15372,scene,S IY N,sin,74.65,3
15373,scenery,S IY N AH R IY,sinxri,3.78,6
15374,scenic,S IY N IH K,sinIk,1.04,5
15387,schedule,S K EH JH AH L,skEJxl,29.76,6
15388,scheduling,S K EH JH UW L IH NG,skEJulIG,1.25,8
15389,schematic,S K IH M AE T IH K,skImAtIk,1.14,8
15390,scheme,S K IY M,skim,7.25,4
15391,schism,S IH Z AH M,sIzxm,0.06,5
15392,schizophrenic,S K IH T S AH F R EH N IH K,skItsxfrEnIk,2.29,12
15393,schnapps,SH N AA P S,Snaps,0.73,5
15394,schnook,SH N UH K,SnUk,0.33,4
15395,scholar,S K AA L AH R,skalxr,3.65,6
15396,scholarly,S K AA L AH R L IY,skalxrli,0.43,8
15397,scholarship,S K AA L AH R SH IH P,skalxrSIp,9.94,9
15398,scholastic,S K AH L AE S T IH K,skxlAstIk,0.57,9
15399,school,S K UW L,skul,333.12,4
