Item,Pronunciation,Phonology,Frequency
scoring,S K AO R IH NG,skcrIG,1.75
scorn,S K AO R N,skcrn,1.16
scornful,S K AO R N F AH L,skcrnfxl,0.08
scotch,S K AA CH,skaC,14.75
scoundrel,S K AW N D R AH L,skWndrxl,2.98
scour,S K AW R,skWr,0.61
scourge,S K AH R JH,skxrJ,1.31
scouring,S K AW R IH NG,skWrIG,0.45
scours,S K AW AH R Z,skWxrz,0.04
scout,S K AW T,skWt,12.88
scowl,S K AW L,skWl,0.51
scraggly,S K R AE G L IY,skrAgli,0.16
scramble,S K R AE M B AH L,skrAmbxl,2.41
scrap,S K R AE P,skrAp,4.37
scrapbook,S K R AE P B UH K,skrApbUk,1.2
scrape,S K R EY P,skrep,4.12
scraping,S K R EY P IH NG,skrepIG,2.31
scratch,S K R AE CH,skrAC,18.84
scratchy,S K R AE CH IY,skrACi,0.96
scrawl,S K R AO L,skrcl,0.24
scrawny,S K R AO N IY,skrcni,1.57
scream,S K R IY M,skrim,26.41
screaming,S K R IY M IH NG,skrimIG,38.14
screech,S K R IY CH,skriC,6.24
screechy,S K R IY CH IY,skriCi,0.02
screen,S K R IY N,skrin,23.39
screening,S K R IY N IH NG,skrinIG,3.39
screenplay,S K R IY N P L EY,skrinple,2.61
screw,S K R UW,skru,37.49
screwball,S K R UW B AO L,skrubcl,1.12
scribble,S K R IH B AH L,skrIbxl,0.63
scribe,S K R AY B,skrYb,0.25
scrimmage,S K R IH M IH JH,skrImIJ,0.78
script,S K R IH P T,skrIpt,19.61
scriptural,S K R IH P CH AH R AH L,skrIpCxrxl,0.02
scripture,S K R IH P CH AH R,skrIpCxr,1.35
scrivener,S K R IH V AH N AH R,skrIvxnxr,0.04
scrounge,S K R AW N JH,skrWnJ,0.88
scrub,S K R AH B,skrxb,6.24
scrubbing,S K R AH B IH NG,skrxbIG,1.9
scrumptious,S K R AH M P SH AH S,skrxmpSxs,0.75
scrupulosity,S K R UW P Y AH L AA S IH T IY,skrupyxlasIti,0.02
scrupulous,S K R UW P Y AH L AH S,skrupyxlxs,0.16
scrupulously,S K R UW P Y AH L AH S L IY,skrupyxlxsli,0.14
scrutinize,S K R UW T AH N AY Z,skrutxnYz,0.22
scrutiny,S K R UW T IH N IY,skrutIni,1.14
scud,S K AH D,skxd,0.61
scuff,S K AH F,skxf,0.45
scuffle,S K AH F AH L,skxfxl,0.43
sculpt,S K AH L P T,skxlpt,0.37
sculptor,S K AH L P T AH R,skxlptxr,0.9
sculptural,S K AH L P CH AH R AH L,skxlpCxrxl,0.08
sculpture,S K AH L P CH AH R,skxlpCxr,3.12
scurrilous,S K AH R AH L AH S,skxrxlxs,0.18
scurry,S K AH R IY,skxri,0.78
scurvy,S K AH R V IY,skxrvi,1.08
scuttle,S K AH T AH L,skxtxl,0.8
se,EH S IY,Esi,18.51
sea,S IY,si,59.84
sea,S IY,si,59.84
sea,S IY,si,59.84
sea,S IY,si,59.84
seaboard,S IY B OW R D,sibord,1.2
seacoast,S IY K OW S T,sikost,0.02
seafarer,S IY F EH R AH R,sifErxr,0.06
seafaring,S IY F AE R IH NG,sifArIG,0.2
seafood,S IY F UW D,sifud,2.02
seagull,S IY G AH L,sigxl,1.22
seal,S IY L,sil,14.75
sealing,S IY L IH NG,silIG,0.9
sealing,S IY L IH NG,silIG,0.9
sealing,S IY L IH NG,silIG,0.9
sealing,S IY L IH NG,silIG,0.9
seam,S IY M,sim,0.65
seam,S IY M,sim,0.65
seam,S IY M,sim,0.65
seam,S IY M,sim,0.65
seaman,S IY M AH N,simxn,1.69
seamanship,S IY M AH N SH IH P,simxnSIp,0.25
seamless,S IY M L AH S,simlxs,0.31
seaport,S IY P AO R T,sipcrt,0.16
seaquake,S IY K W EY K,sikwek,0.02
sear,S IH R,sIr,0.22
sear,S IH R,sIr,0.22
sear,S IH R,sIr,0.22
sear,S IH R,sIr,0.22
search,S AH R CH,sxrC,48.37
searching,S AH R CH IH NG,sxrCIG,16.78
searchlight,S AH R CH L AY T,sxrClYt,0.43
seashore,S IY SH OW R,siSor,0.47
seaside,S IY S AY D,sisYd,0.65
season,S IY Z AH N,sizxn,31.47
seasonal,S IY Z AH N AH L,sizxnxl,0.98
seasoning,S IY Z AH N IH NG,sizxnIG,0.53
seat,S IY T,sit,78.78
seaweed,S IY W IY D,siwid,1.73
secede,S IH S IY D,sIsid,0.08
secession,S IH S EH SH AH N,sIsESxn,0.02
seclude,S IH K L UW D,sIklud,0.04
seclusion,S IH K L UW ZH AH N,sIkluZxn,0.71
second,S EH K IH N D,sEkInd,284.57
secondary,S EH K IH N D EH R IY,sEkIndEri,4.1
secondhand,S EH K IH N T HH AE N D,sEkInthAnd,1.06
secrecy,S IY K R IH S IY,sikrIsi,3.47
secret,S IY K R IH T,sikrIt,109.51
secretarial,S EH K R AH T EH R IY AH L,sEkrxtErixl,0.31
secretariat,S EH K R IH T EH R IY IH T,sEkrItEriIt,0.1
secretary,S EH K R AH T EH R IY,sEkrxtEri,33.22
secrete,S IH K R IY T,sIkrit,0.22
secretion,S IH K R IY SH IH N,sIkriSIn,0.25
sect,S EH K T,sEkt,0.73
sectarian,S EH K T EH R IY AH N,sEktErixn,0.04
section,S EH K SH IH N,sEkSIn,27.33
sector,S EH K T AH R,sEktxr,7.06
secular,S EH K Y UH L AH R,sEkyUlxr,0.49
secularist,S EH K Y AH L AH R IH S T,sEkyxlxrIst,0.02
secure,S IH K Y UH R,sIkyUr,24.33
securing,S IH K Y UH R IH NG,sIkyUrIG,1.2
security,S IH K Y UH R IH T IY,sIkyUrIti,94.31
sedan,S IH D AE N,sIdAn,1.76
sedate,S IH D EY T,sIdet,1.25
sedative,S EH D IH T IH V,sEdItIv,2.55
sedentary,S EH D AH N T EH R IY,sEdxntEri,0.18
sediment,S EH D AH M AH N T,sEdxmxnt,0.41
sedimentary,S EH D AH M EH N T AH R IY,sEdxmEntxri,0.08
sedimentation,S EH D AH M AH N T EY SH AH N,sEdxmxnteSxn,0.04
sedition,S IH D IH SH IH N,sIdISIn,0.45
seditious,S IH D IH SH AH S,sIdISxs,0.16
seduce,S IH D UW S,sIdus,3.45
seducer,S IH D UW S AH R,sIdusxr,0.39
seduction,S IH D AH K SH AH N,sIdxkSxn,0.98
seductive,S IH D AH K T IH V,sIdxktIv,0.75
see,S IY,si,2556.73
see,S IY,si,2556.73
see,S IY,si,2556.73
see,S IY,si,2556.73
seed,S IY D,sid,7.57
seedling,S IY D L IH NG,sidlIG,0.1
seeing,S IY IH NG,siIG,109.63
seek,S IY K,sik,18.31
seeker,S IY K AH R,sikxr,0.92
seem,S IY M,sim,139.82
seem,S IY M,sim,139.82
seem,S IY M,sim,139.82
seem,S IY M,sim,139.82
seeming,S IY M IH NG,simIG,1
seemingly,S IY M IH NG L IY,simIGli,2.12
seep,S IY P,sip,0.18
seepage,S IY P IH JH,sipIJ,0.33
seer,S IH R,sIr,1.47
seer,S IH R,sIr,1.47
seer,S IH R,sIr,1.47
seer,S IH R,sIr,1.47
seersucker,S IH R S AH K AH R,sIrsxkxr,0.06
segment,S EH G M AH N T,sEgmxnt,1.98
segregate,S EH G R IH G EY T,sEgrIget,0.14
segregation,S EH G R IH G EY SH IH N,sEgrIgeSIn,0.84
seismic,S AY Z M IH K,sYzmIk,0.61
seismograph,S AY Z M AH G R AE F,sYzmxgrAf,0.06
seismological,S AY Z M AH L AO JH AH K AH L,sYzmxlcJxkxl,0.02
seize,S IY Z,siz,4.82
seizure,S IY ZH AH R,siZxr,3.73
select,S AH L EH K T,sxlEkt,3.53
selection,S AH L EH K SH IH N,sxlEkSIn,4.55
selective,S IH L EH K T IH V,sIlEktIv,1.18
selectivity,S IH L EH K T IH V AH T IY,sIlEktIvxti,0.06
selectman,S AH L EH K T M AH N,sxlEktmxn,0.63
self,S EH L F,sElf,14.16
selfish,S EH L F IH SH,sElfIS,15.9
selfishness,S EH L F IH SH N EH S,sElfISnEs,0.78
selfless,S EH L F L AH S,sElflxs,1.82
selflessness,S EH L F L IH S N EH S,sElflIsnEs,0.29
sell,S EH L,sEl,92.25
sell,S EH L,sEl,92.25
sell,S EH L,sEl,92.25
sell,S EH L,sEl,92.25
seller,S EH L AH R,sElxr,2.2
seller,S EH L AH R,sElxr,2.2
seller,S EH L AH R,sElxr,2.2
seller,S EH L AH R,sElxr,2.2
selling,S EH L IH NG,sElIG,37.63
sellout,S EH L AW T,sElWt,0.65
semantic,S IH M AE N T IH K,sImAntIk,0.08
semblance,S EH M B L IH N S,sEmblIns,0.43
semester,S AH M EH S T AH R,sxmEstxr,6.94
semiarid,S EH M IY AE R AH D,sEmiArxd,0.02
semiautomatic,S EH M IY AO T AH M AE T IH K,sEmictxmAtIk,0.41
seminal,S EH M AH N AH L,sEmxnxl,0.37
seminar,S EH M IH N AA R,sEmInar,4.25
seminarian,S EH M AH N EH R IY AH N,sEmxnErixn,0.02
seminary,S EH M AH N EH R IY,sEmxnEri,1.04
senate,S EH N IH T,sEnIt,6.49
senator,S EH N IH T AH R,sEnItxr,33.16
senatorial,S EH N IH T OW R IY AH L,sEnItorixl,0.24
send,S EH N D,sEnd,179.78
sender,S EH N D AH R,sEndxr,0.75
sending,S EH N D IH NG,sEndIG,35.1
senile,S IY N AY L,sinYl,1.73
senior,S IY N Y AH R,sinyxr,26.25
seniority,S IY N Y AO R AH T IY,sinycrxti,1.08
senora,S EY N Y OW R AH,senyorx,1.27
sensation,S EH N S EY SH IH N,sEnseSIn,4.88
sensational,S EH N S EY SH AH N AH L,sEnseSxnxl,4.02
sensationalism,S EH N S EY SH AH N AH L IH Z AH M,sEnseSxnxlIzxm,0.14
sense,S EH N S,sEns,131.8
senseless,S EH N S L AH S,sEnslxs,2.57
sensibility,S EH N S AH B IH L IH T IY,sEnsxbIlIti,0.49
sensible,S EH N S IH B AH L,sEnsIbxl,6.8
sensing,S EH N S IH NG,sEnsIG,1.9
sensitive,S EH N S IH T IH V,sEnsItIv,22.53
sensitivity,S EH N S IH T IH V AH T IY,sEnsItIvxti,2.9
sensor,S EH N S AO R,sEnscr,2.25
sensory,S EH N S AH R IY,sEnsxri,1.08
sensual,S EH N CH UW AH L,sEnCuxl,1.51
sensuality,S EH N CH UW AE L IH T IY,sEnCuAlIti,0.69
sensuous,S EH N CH UW IH S,sEnCuIs,0.49
sentence,S EH N T AH N S,sEntxns,20.53
sentient,S EH N CH IY AH N T,sEnCixnt,0.45
sentiment,S EH N T AH M AH N T,sEntxmxnt,3.18
sentimental,S EH N T AH M EH N T AH L,sEntxmEntxl,7.04
sentimentality,S EH N T AH M EH N T AE L IH T IY,sEntxmEntAlIti,0.47
sentimentalize,S EH N T AH M EH N T AH L AY Z,sEntxmEntxlYz,0.02
sentinel,S EH N T AH N AH L,sEntxnxl,0.53
sentry,S EH N T R IY,sEntri,1.37
separable,S EH P AH R AH B AH L,sEpxrxbxl,0.02
separate,S EH P AH R EY T,sEpxret,21.71
separateness,S EH P AH R AH T N AH S,sEpxrxtnxs,0.14
separation,S EH P AH R EY SH IH N,sEpxreSIn,4.86
sepia,S IY P IY AH,sipix,0.06
septic,S EH P T IH K,sEptIk,1.41
septum,S EH P T AH M,sEptxm,0.35
sepulchre,S EH P AH L K AH R,sEpxlkxr,0.14
sequel,S IY K W AH L,sikwxl,1.76
sequence,S IY K W IH N S,sikwIns,8.39
sequestration,S IY K W AH S T R EY SH IH N,sikwxstreSIn,0.02
sequin,S IY K W AH N,sikwxn,0.14
seraph,S EH R AH F,sErxf,0.16
serenade,S EH R AH N EY D,sErxned,1.14
serene,S AH R IY N,sxrin,1.24
serenity,S AH R EH N IH T IY,sxrEnIti,1.78
serf,S AH R F,sxrf,0.18
serf,S AH R F,sxrf,0.18
serf,S AH R F,sxrf,0.18
serf,S AH R F,sxrf,0.18
serge,S AH R JH,sxrJ,1.63
serge,S AH R JH,sxrJ,1.63
serge,S AH R JH,sxrJ,1.63
serge,S AH R JH,sxrJ,1.63
sergeant,S AA R JH IH N T,sarJInt,62.94
serial,S IH R IY AH L,sIrixl,11.31
serial,S IH R IY AH L,sIrixl,11.31
serial,S IH R IY AH L,sIrixl,11.31
serial,S IH R IY AH L,sIrixl,11.31
series,S IH R IY Z,sIriz,20.16
serious,S IH R IY AH S,sIrixs,148.35
seriously,S IH R IY AH S L IY,sIrixsli,64.12
seriousness,S IH R IY AH S N AH S,sIrixsnxs,1.25
sermon,S AH R M AH N,sxrmxn,2.73
serological,S EH R AH L AO JH IH K AH L,sErxlcJIkxl,0.02
serpent,S AH R P AH N T,sxrpxnt,1.94
serpentine,S AH R P AH N T IY N,sxrpxntin,0.24
serum,S IH R AH M,sIrxm,3.75
servant,S AH R V AH N T,sxrvxnt,12.14
serve,S AH R V,sxrv,37.94
service,S AH R V AH S,sxrvxs,79.92
serviceable,S AH R V AH S AH B AH L,sxrvxsxbxl,0.24
serviceman,S AH R V AH S M AE N,sxrvxsmAn,0.16
servicing,S AH R V IH S IH NG,sxrvIsIG,0.61
servile,S AH R V AH L,sxrvxl,0.12
serving,S AH R V IH NG,sxrvIG,11.69
servitor,S AH R V AH T AH R,sxrvxtxr,0.04
servo,S AH R V OW,sxrvo,0.06
sesame,S EH S AH M IY,sEsxmi,1.53
session,S EH SH IH N,sESIn,13.29
set,S EH T,sEt,231.47
setback,S EH T B AE K,sEtbAk,1.53
setting,S EH T IH NG,sEtIG,21.55
settle,S EH T AH L,sEtxl,42.02
settlement,S EH T AH L M AH N T,sEtxlmxnt,6.31
settler,S EH T L AH R,sEtlxr,0.08
setup,S EH T AH P,sEtxp,8.63
seven,S EH V AH N,sEvxn,104.45
seventeen,S EH V AH N T IY N,sEvxntin,5.8
seventeenth,S EH V AH N T IY N TH,sEvxntinT,0.37
seventh,S EH V AH N TH,sEvxnT,9.75
seventy,S EH V AH N T IY,sEvxnti,2.06
sever,S EH V AH R,sEvxr,1.57
several,S EH V AH R AH L,sEvxrxl,38.78
severe,S AH V IH R,sxvIr,9.41
severely,S AH V IH R L IY,sxvIrli,3.02
severing,S EH V AH R IH NG,sEvxrIG,0.2
severity,S IH V EH R IH T IY,sIvErIti,0.59
sew,S OW,so,5.49
sew,S OW,so,5.49
sew,S OW,so,5.49
sew,S OW,so,5.49
sewage,S UW IH JH,suIJ,1.18
sewer,S UW AH R,suxr,4.71
sex,S EH K S,sEks,152.18
sextet,S EH K S T EH T,sEkstEt,0.12
sexton,S EH K S T IH N,sEkstIn,0.45
sexual,S EH K SH UW AH L,sEkSuxl,33.2
sexuality,S EH K SH UW AE L IH T IY,sEkSuAlIti,3.1
sexy,S EH K S IY,sEksi,29.98
shabby,SH AE B IY,SAbi,1.71
shack,SH AE K,SAk,5.65
shackle,SH AE K AH L,SAkxl,0.31
shade,SH EY D,Sed,5.96
shading,SH EY D IH NG,SedIG,0.31
shadow,SH AE D OW,SAdo,21.18
shadowing,SH AE D OW IH NG,SAdoIG,0.49
shadowy,SH AE D OW IY,SAdoi,1.69
shady,SH EY D IY,Sedi,2.35
shaft,SH AE F T,SAft,7.71
shag,SH AE G,SAg,1.9
shaggy,SH AE G IY,SAgi,1.53
shah,SH AA,Sa,0.84
shake,SH EY K,Sek,39.63
shaker,SH EY K AH R,Sekxr,1.59
shaking,SH EY K IH NG,SekIG,12.88
shaky,SH EY K IY,Seki,2.96
shall,SH AE L,SAl,185.12
shallow,SH AE L OW,SAlo,5.9
shallower,SH AE L OW AH R,SAloxr,0.04
shallowness,SH AE L OW N AH S,SAlonxs,0.1
sham,SH AE M,SAm,1.51
shamble,SH AE M B AH L,SAmbxl,0.04
shame,SH EY M,Sem,41.57
shameful,SH EY M F AH L,Semfxl,1.92
shampoo,SH AE M P UW,SAmpu,4.22
shamrock,SH AE M R AA K,SAmrak,0.27
shank,SH AE NG K,SAGk,1.35
shanty,SH AE N T IY,SAnti,0.45
shanty,SH AE N T IY,SAnti,0.45
shanty,SH AE N T IY,SAnti,0.45
shanty,SH AE N T IY,SAnti,0.45
shape,SH EY P,Sep,30.24
shapeless,SH EY P L IH S,SeplIs,0.1
shapely,SH EY P L IY,Sepli,0.35
shaping,SH EY P IH NG,SepIG,1.04
shard,SH AA R D,Sard,0.73
share,SH EH R,SEr,69.51
shareholder,SH EH R HH OW L D AH R,SErholdxr,0.53
sharer,SH EH R AH R,SErxr,0.04
sharing,SH EH R IH NG,SErIG,12.22
shark,SH AA R K,Sark,14.98
sharp,SH AA R P,Sarp,23.78
sharpen,SH AA R P AH N,Sarpxn,1.12
sharpening,SH AA R P N IH NG,SarpnIG,0.47
sharper,SH AA R P AH R,Sarpxr,1.27
sharpest,SH AA R P AH S T,Sarpxst,0.73
sharply,SH AA R P L IY,Sarpli,0.57
sharpness,SH AA R P N AH S,Sarpnxs,0.24
sharpshooter,SH AA R P SH UW T AH R,SarpSutxr,0.53
sharpshooter,SH AA R P SH UW T AH R,SarpSutxr,0.53
shatter,SH AE T AH R,SAtxr,1.41
shatterproof,SH AE T AH R P R UW F,SAtxrpruf,0.14
shave,SH EY V,Sev,13.76
shaving,SH EY V IH NG,SevIG,5.84
shawl,SH AO L,Scl,1.37
she,SH IY,Si,3732.88
shea,SH EY,Se,1.63
sheaf,SH IY F,Sif,0.04
shear,SH IH R,SIr,0.41
shear,SH IH R,SIr,0.41
shear,SH IH R,SIr,0.41
shear,SH IH R,SIr,0.41
sheath,SH IY TH,SiT,0.49
sheathing,SH IY DH IH NG,SiDIG,0.04
shed,SH EH D,SEd,10.98
sheen,SH IY N,Sin,0.94
sheep,SH IY P,Sip,13.43
sheepskin,SH IY P S K IH N,SipskIn,0.27
sheer,SH IH R,SIr,4.57
sheer,SH IH R,SIr,4.57
sheer,SH IH R,SIr,4.57
sheer,SH IH R,SIr,4.57
sheet,SH IY T,Sit,11.61
sheeting,SH IY T IH NG,SitIG,0.12
sheik,SH IY K,Sik,1.51
sheik,SH IY K,Sik,1.51
sheik,SH IY K,Sik,1.51
sheik,SH IY K,Sik,1.51
shelf,SH EH L F,SElf,6.96
shell,SH EH L,SEl,13.22
shelter,SH EH L T AH R,SEltxr,11.67
shelve,SH EH L V,SElv,0.2
shenanigan,SH AH N AE N IH G AH N,SxnAnIgxn,0.06
shepherd,SH EH P AH R D,SEpxrd,7.43
sheriff,SH EH R IH F,SErIf,61.08
sherry,SH EH R IY,SEri,13.82
shield,SH IY L D,Sild,8.2
shielding,SH IY L D IH NG,SildIG,0.82
shift,SH IH F T,SIft,22.82
shifter,SH IH F T AH R,SIftxr,0.29
shiftless,SH IH F T L IH S,SIftlIs,0.33
shifty,SH IH F T IY,SIfti,0.73
shill,SH IH L,SIl,0.27
shilling,SH IH L IH NG,SIlIG,1.47
shim,SH IH M,SIm,0.16
shimmer,SH IH M AH R,SImxr,0.55
shimmy,SH IH M IY,SImi,1.16
shin,SH IH N,SIn,3.08
shinbone,SH IH N B OW N,SInbon,0.29
shine,SH AY N,SYn,20.65
shingle,SH IH NG G AH L,SIGgxl,0.75
shiny,SH AY N IY,SYni,7.8
ship,SH IH P,SIp,98.88
shipboard,SH IH P B OW R D,SIpbord,0.22
shipbuilding,SH IH P B IH L D IH NG,SIpbIldIG,0.1
shipmate,SH IH P M EY T,SIpmet,0.33
shipment,SH IH P M AH N T,SIpmxnt,6.31
shipper,SH IH P AH R,SIpxr,0.12
shipping,SH IH P IH NG,SIpIG,6.31
shipshape,SH IH P SH EY P,SIpSep,0.59
shipwreck,SH IH P R EH K,SIprEk,0.53
shipyard,SH IH P Y AA R D,SIpyard,0.84
shirk,SH AH R K,Sxrk,0.25
shirt,SH AH R T,Sxrt,46.37
shirtfront,SH AH R T F R AH N T,Sxrtfrxnt,0.02
shirtsleeve,SH AH R T S L IY V,Sxrtsliv,0.02
shit,SH IH T,SIt,474.65
shiver,SH IH V AH R,SIvxr,1.53
shivery,SH IH V AH R IY,SIvxri,0.12
shoal,SH OW L,Sol,0.2
shock,SH AA K,Sak,28.78
shocker,SH AA K AH R,Sakxr,0.94
shocking,SH AA K IH NG,SakIG,6.18
shockingly,SH AA K IH NG L IY,SakIGli,0.53
shockwave,SH AA K W EY V,Sakwev,0.24
shoddy,SH AA D IY,Sadi,0.73
shoe,SH UW,Su,30.39
shoe,SH UW,Su,30.39
shoe,SH UW,Su,30.39
shoe,SH UW,Su,30.39
shoelace,SH UW L EY S,Sules,0.75
shoestring,SH UW S T R IH NG,SustrIG,0.25
shoji,SH OW JH IY,SoJi,0.37
shoo,SH UW,Su,5.24
shoo,SH UW,Su,5.24
shoo,SH UW,Su,5.24
shoo,SH UW,Su,5.24
shoot,SH UW T,Sut,164.94
shoot,SH UW T,Sut,164.94
shoot,SH UW T,Sut,164.94
shoot,SH UW T,Sut,164.94
shooter,SH UW T AH R,Sutxr,9.78
shooting,SH UW T IH NG,SutIG,56.29
shop,SH AA P,Sap,53.55
shopkeeper,SH AA P K IY P AH R,Sapkipxr,0.39
shopper,SH AA P AH R,Sapxr,0.65
shopping,SH AA P IH NG,SapIG,30
shopworn,SH AA P W OW R N,Sapworn,0.06
shore,SH OW R,Sor,19.86
shoreline,SH AO R L AY N,ScrlYn,0.55
short,SH AO R T,Scrt,85.63
shortage,SH AO R T IH JH,ScrtIJ,2.63
shortcoming,SH AO R T K AH M IH NG,ScrtkxmIG,0.1
shortcut,SH AO R T K AH T,Scrtkxt,3.94
shorten,SH AO R T AH N,Scrtxn,1.02
shorter,SH AO R T AH R,Scrtxr,5.88
shortest,SH AO R T IH S T,ScrtIst,1.57
shorthand,SH AO R T HH AE N D,ScrthAnd,1
shortness,SH AO R T N AH S,Scrtnxs,0.84
shorts,SH AO R T S,Scrts,9.41
shortsighted,SH AO R T S AY T IH D,ScrtsYtId,0.35
shortsightedness,SH AO R T S AY T IH D N IH S,ScrtsYtIdnIs,0.04
shortstop,SH AO R T S T AA P,Scrtstap,0.8
shot,SH AA T,Sat,227.43
shotgun,SH AA T G AH N,Satgxn,10.04
should,SH UH D,SUd,1061.94
shoulder,SH OW L D AH R,Soldxr,26.2
shout,SH AW T,SWt,16.45
shouting,SH AW T IH NG,SWtIG,14.59
shove,SH AH V,Sxv,13.22
shovel,SH AH V AH L,Sxvxl,6.84
show,SH OW,So,488.35
showcase,SH OW K EY S,Sokes,0.61
showdown,SH OW D AW N,SodWn,1.25
shower,SH AW AH R,SWxr,41.12
showerhead,SH AW AH R HH EH D,SWxrhEd,0.18
showing,SH OW IH NG,SoIG,31.12
showman,SH OW M AH N,Somxn,0.33
showmanship,SH OW M AH N SH IH P,SomxnSIp,0.27
showpiece,SH OW P IY S,Sopis,0.08
showroom,SH OW R UW M,Sorum,0.63
showy,SH OW IY,Soi,0.29
shrapnel,SH R AE P N AH L,SrApnxl,2.22
shred,SH R EH D,SrEd,2.94
shredder,SH R EH D AH R,SrEdxr,0.33
shrewd,SH R UW D,Srud,1.41
shrewish,SH R UW IH SH,SruIS,0.02
shriek,SH R IY K,Srik,0.63
shrieking,SH R IY K IH NG,SrikIG,0.8
shrill,SH R IH L,SrIl,0.47
shrimp,SH R IH M P,SrImp,8.71
shrine,SH R AY N,SrYn,2.96
shrink,SH R IH NG K,SrIGk,11.31
shrinkage,SH R IH NG K IH JH,SrIGkIJ,0.24
shrivel,SH R IH V AH L,SrIvxl,0.39
shroud,SH R AW D,SrWd,1.02
shrub,SH R AH B,Srxb,0.27
shrubbery,SH R AH B AH R IY,Srxbxri,0.35
shrug,SH R AH G,Srxg,0.39
shucks,SH AH K S,Sxks,1.71
shudder,SH AH D AH R,Sxdxr,1.12
shuffle,SH AH F AH L,Sxfxl,2.94
shun,SH AH N,Sxn,0.51
shunt,SH AH N T,Sxnt,0.94
shut,SH AH T,Sxt,263.82
shutdown,SH AH T D AW N,SxtdWn,1.47
shutter,SH AH T AH R,Sxtxr,1.45
shuttle,SH AH T AH L,Sxtxl,5.53
shy,SH AY,SY,18.37
sibilant,S IH B AH L AH N T,sIbxlxnt,0.02
sick,S IH K,sIk,165.43
sicken,S IH K IH N,sIkIn,0.37
sicker,S IH K AH R,sIkxr,1.22
sickly,S IH K L IY,sIkli,0.76
sickness,S IH K N AH S,sIknxs,7.94
sickroom,S IH K R UW M,sIkrum,0.18
side,S AY D,sYd,200.92
sidearm,S AY D AA R M,sYdarm,0.45
sideboard,S AY D B OW R D,sYdbord,0.25
sideline,S AY D L AY N,sYdlYn,0.61
sidelong,S AY D L AO NG,sYdlcG,0.04
sideman,S AY D M AE N,sYdmAn,0.04
sideshow,S AY D SH OW,sYdSo,1.1
sidewalk,S AY D W AO K,sYdwck,5.47
sideways,S AY D W EY Z,sYdwez,2.75
sidewinder,S AY D W AY N D AH R,sYdwYndxr,0.8
siding,S AY D IH NG,sYdIG,1.33
sidle,S AY D AH L,sYdxl,1.06
sie,EH S AY IY,EsYi,0.8
siege,S IY JH,siJ,2.31
sienna,S IY EH N AH,siEnx,0.18
siesta,S IY EH S T AH,siEstx,0.49
sieve,S IH V,sIv,0.53
sift,S IH F T,sIft,0.75
sifting,S IH F T IH NG,sIftIG,0.69
sigh,S AY,sY,3.39
sight,S AY T,sYt,45.31
sight,S AY T,sYt,45.31
sight,S AY T,sYt,45.31
sight,S AY T,sYt,45.31
sight,S AY T,sYt,45.31
sight,S AY T,sYt,45.31
sight,S AY T,sYt,45.31
sight,S AY T,sYt,45.31
sight,S AY T,sYt,45.31
sighting,S AY T IH NG,sYtIG,1.55
sightseer,S AY T S IY R,sYtsir,0.02
sign,S AY N,sYn,133.27
sign,S AY N,sYn,133.27
sign,S AY N,sYn,133.27
sign,S AY N,sYn,133.27
signal,S IH G N AH L,sIgnxl,37.76
signaling,S IH G N AH L IH NG,sIgnxlIG,0.98
signature,S IH G N AH CH UH R,sIgnxCUr,12.2
signboard,S AY N B OW R D,sYnbord,0.08
signer,S AY N AH R,sYnxr,0.1
significance,S IH G N IH F IH K IH N S,sIgnIfIkIns,3.49
significant,S IH G N IH F AH K AH N T,sIgnIfxkxnt,6.49
significantly,S IH G N IH F IH K AH N T L IY,sIgnIfIkxntli,0.84
signify,S IH G N AH F AY,sIgnxfY,0.63
signing,S AY N IH NG,sYnIG,9.94
signora,S IH N Y OW R AH,sInyorx,1.96
signpost,S AY N P OW S T,sYnpost,0.31
silence,S AY L AH N S,sYlxns,25.37
silent,S AY L AH N T,sYlxnt,23
silhouette,S IH L OW EH T,sIloEt,0.57
silica,S IH L AH K AH,sIlxkx,0.2
silicate,S IH L AH K EY T,sIlxket,0.14
silicon,S IH L AH K IH N,sIlxkIn,1.71
silicone,S IH L AH K OW N,sIlxkon,0.78
silk,S IH L K,sIlk,9.78
silken,S IH L K AH N,sIlkxn,0.41
silkworm,S IH L K W AH R M,sIlkwxrm,0.06
silky,S IH L K IY,sIlki,0.78
sill,S IH L,sIl,0.45
silliest,S IH L IY AH S T,sIlixst,0.43
silly,S IH L IY,sIli,57.1
silo,S AY L OW,sYlo,0.94
silvas,S IH L V AH Z,sIlvxz,0.04
silver,S IH L V AH R,sIlvxr,31.75
silvery,S IH L V AH R IY,sIlvxri,0.49
similar,S IH M AH L AH R,sImxlxr,13.63
similarity,S IH M AH L AE R IH T IY,sImxlArIti,0.71
similarly,S IH M AH L AH R L IY,sImxlxrli,0.65
simile,S IH M AH L IY,sImxli,0.25
simmer,S IH M AH R,sImxr,1.71
simple,S IH M P AH L,sImpxl,89.31
simpler,S IH M P L AH R,sImplxr,3.8
simplest,S IH M P L AH S T,sImplxst,1.45
simpleton,S IH M P AH L T IH N,sImpxltIn,0.61
simplicity,S IH M P L IH S IH T IY,sImplIsIti,1.35
simplify,S IH M P L AH F AY,sImplxfY,0.9
simplistic,S IH M P L IH S T IH K,sImplIstIk,0.41
simulate,S IH M Y UH L EY T,sImyUlet,1.16
